iter	Passed	Remaining
403	7348	10840
404	7359	10811
405	7378	10795
406	7398	10779
407	7415	10759
408	7432	10740
409	7440	10707
410	7460	10691
411	7477	10672
412	7498	10657
413	7517	10641
414	7537	10624
415	7556	10608
416	7574	10590
417	7595	10575
418	7614	10558
419	7634	10542
420	7656	10529
421	7677	10515
422	7696	10498
423	7717	10484
424	7728	10456
425	7745	10436
426	7765	10420
427	7782	10400
428	7790	10369
429	7804	10346
430	7824	10330
431	7844	10313
432	7861	10293
433	7880	10277
434	7900	10261
435	7917	10241
436	7934	10222
437	7954	10206
438	7974	10190
439	7990	10170
440	8010	10154
441	8034	10143
442	8056	10130
443	8077	10114
444	8096	10098
445	8116	10082
446	8137	10066
447	8157	10050
448	8174	10031
449	8195	10016
450	8214	9999
451	8236	9986
452	8256	9970
453	8276	9953
454	8296	9937
455	8315	9919
456	8334	9903
457	8351	9883
458	8371	9866
459	8387	9846
460	8407	9829
461	8426	9812
462	8445	9794
463	8465	9778
464	8482	9759
465	8499	9739
466	8518	9722
467	8537	9705
468	8557	9689
469	8580	9675
470	8600	9659
471	8617	9639
472	8636	9622
473	8650	9600
474	8668	9580
475	8687	9563
476	8707	9547
477	8726	9530
478	8747	9514
479	8768	9498
480	8788	9482
481	8808	9466
482	8828	9449
483	8847	9432
484	8867	9416
485	8887	9399
486	8906	9382
487	8926	9365
488	8946	9348
489	8963	9328
490	8983	9312
491	9002	9295
492	9022	9278
493	9042	9261
494	9061	9244
495	9081	9227
496	9100	9210
497	9118	9191
498	9139	9175
499	9158	9158
500	9176	9139
501	9198	9124
502	9218	9108
503	9237	9090
504	9257	9073
505	9282	9062
506	9302	9046
507	9319	9026
508	9339	9009
509	9358	8991
510	9375	8972
511	9395	8954
512	9414	8937
513	9434	8920
514	9453	8902
515	9473	8885
516	9493	8868
517	9512	8851
518	9531	8833
519	9551	8816
520	9573	8801
521	9589	8781
522	9609	8764
523	9629	8747
524	9650	8731
525	9669	8713
526	9689	8696
527	9709	8679
528	9729	8662
529	9750	8646
530	9770	8629
531	9790	8612
532	9805	8591
533	9825	8574
534	9846	8558
535	9867	8541
536	9887	8525
537	9908	8508
538	9914	8479
539	9934	8462
540	9954	8446
541	9974	8428
542	9991	8408
543	10011	8391
544	10030	8374
545	10047	8354
546	10067	8337
547	10084	8317
548	10103	8300
549	10125	8284
550	10145	8266
551	10164	8249
552	10186	8234
553	10206	8217
554	10226	8199
555	10246	8182
556	10265	8164
557	10282	8145
558	10302	8127
559	10322	8110
560	10342	8093
561	10362	8075
562	10382	8058
563	10401	8040
564	10416	8019
565	10435	8002
566	10455	7984
567	10472	7965
568	10489	7945
569	10509	7928
570	10529	7910
571	10546	7891
572	10567	7874
573	10587	7857
574	10607	7840
575	10626	7822
576	10631	7793
577	10640	7768
578	10659	7750
579	10679	7733
580	10699	7716
581	10710	7692
582	10730	7675
583	10744	7653
584	10764	7636
585	10772	7610
586	10791	7592
587	10811	7575
588	10819	7550
589	10825	7522
590	10842	7503
591	10862	7486
592	10882	7469
593	10911	7458
594	10939	7445
595	10958	7428
596	10983	7414
597	11009	7400
598	11033	7386
599	11053	7368
600	11076	7353
601	11103	7341
602	11129	7327
603	11155	7313
604	11178	7298
605	11202	7283
606	11226	7268
607	11249	7253
608	11265	7232
609	11284	7214
610	11303	7196
611	11322	7178
612	11341	7160
613	11361	7142
614	11379	7123
615	11388	7099
616	11408	7081
617	11416	7056
618	11435	7038
619	11457	7022
620	11474	7002
621	11494	6985
622	11510	6965
623	11530	6947
624	11544	6926
625	11561	6907
626	11581	6889
627	11601	6872
628	11621	6854
629	11632	6831
630	11652	6814
631	11672	6796
632	11693	6779
633	11715	6763
634	11727	6741
635	11744	6721
636	11765	6704
637	11791	6690
638	11802	6667
639	11821	6649
640	11837	6629
641	11856	6611
642	11876	6594
643	11896	6576
644	11912	6556
645	11929	6537
646	11943	6516
647	11965	6499
648	11988	6483
649	12003	6463
650	12020	6444
651	12037	6424
652	12062	6409
653	12095	6399
654	12122	6384
655	12152	6372
656	12185	6361
657	12215	6349
658	12249	6338
659	12276	6324
660	12310	6313
661	12351	6306
662	12392	6298
663	12434	6292
664	12483	6288
665	12530	6284
666	12579	6280
667	12607	6265
668	12643	6255
669	12665	6238
670	12685	6219
671	12711	6204
672	12742	6191
673	12780	6181
674	12810	6168
675	12844	6156
676	12877	6143
677	12910	6131
678	12940	6117
679	12954	6096
680	12985	6082
681	13015	6068
682	13045	6054
683	13074	6040
684	13103	6025
685	13126	6008
686	13165	5998
687	13201	5986
688	13234	5973
689	13259	5957
690	13283	5939
691	13311	5924
692	13338	5908
693	13359	5890
694	13391	5876
695	13406	5855
696	13415	5832
697	13446	5817
698	13471	5801
699	13493	5782
700	13513	5763
701	13537	5746
702	13562	5729
703	13584	5711
704	13607	5693
705	13629	5675
706	13651	5657
707	13665	5636
708	13677	5613
709	13698	5595
710	13718	5576
711	13738	5556
712	13759	5538
713	13780	5520
714	13801	5501
715	13820	5482
716	13841	5463
717	13861	5444
718	13884	5426
719	13904	5407
720	13920	5386
721	13940	5367
722	13957	5347
723	13974	5327
724	13996	5309
725	14014	5289
726	14042	5272
727	14069	5256
728	14094	5239
729	14113	5220
730	14137	5202
731	14154	5182
732	14177	5164
733	14187	5141
734	14209	5123
735	14234	5105
736	14259	5088
737	14283	5070
738	14304	5052
739	14319	5031
740	14340	5012
741	14357	4992
742	14377	4973
743	14397	4954
744	14415	4934
745	14436	4915
746	14453	4895
747	14473	4876
748	14493	4856
749	14509	4836
750	14530	4817
751	14557	4800
752	14587	4784
753	14616	4768
754	14684	4765
755	14706	4746
756	14724	4726
757	14732	4703
758	14752	4684
759	14772	4664
760	14786	4643
761	14806	4624
762	14829	4606
763	14854	4588
764	14877	4570
765	14897	4550
766	14917	4531
767	14937	4512
768	14958	4493
769	14980	4474
770	15006	4457
771	15026	4437
772	15050	4419
773	15069	4400
