iter	F1	Logloss
163	0.5419284349	0.5209631799
164	0.5415300546	0.5208291805
165	0.5417804478	0.5207712564
166	0.5422343324	0.52071268
167	0.5420305677	0.5206324366
168	0.5429740791	0.520549142
169	0.5422804146	0.5205274543
170	0.5429272281	0.5204297073
171	0.5434723358	0.5203179228
172	0.5436205016	0.5202365776
173	0.5426779384	0.5201651094
174	0.5426314356	0.5200660129
175	0.5426314356	0.5200098571
176	0.5434249932	0.5198025852
177	0.5427327164	0.5197006134
178	0.5429815016	0.5196680521
179	0.5423359652	0.519596049
180	0.5429815016	0.5194848034
181	0.5427792916	0.5193983476
182	0.5424836601	0.5193199567
183	0.5424836601	0.5192557148
184	0.5426314356	0.5191763905
185	0.5424836601	0.5191008052
186	0.5427327164	0.5190663835
187	0.542585034	0.5189903638
188	0.5428804792	0.5189383598
189	0.5420866249	0.5188546421
190	0.5420866249	0.518849244
191	0.5420866249	0.5187003341
192	0.5419847328	0.5186081776
193	0.5419847328	0.5185310844
194	0.5421325334	0.5184891878
195	0.5419847328	0.518453404
196	0.5414394766	0.518378129
197	0.5414394766	0.5183557976
198	0.5427792916	0.5183086829
199	0.5426314356	0.51825626
200	0.5430283224	0.5182072996
201	0.5430283224	0.5181179451
202	0.5430283224	0.5180560994
203	0.5442658676	0.5179852136
204	0.543821448	0.5179195717
205	0.543821448	0.5177939824
206	0.544465597	0.5177402861
207	0.544465597	0.5176439183
208	0.544465597	0.5175437933
209	0.544465597	0.517480741
210	0.5441696113	0.517446698
211	0.5444172779	0.5171889557
212	0.5463917526	0.5170415751
213	0.5459972863	0.5169536158
214	0.5465400271	0.516886276
215	0.5460472698	0.5168530576
216	0.5466883822	0.5167243641
217	0.5462937822	0.5166751114
218	0.5475738683	0.5165867929
219	0.548212351	0.5162462382
32	0.5208634385
4087676
