iter	Logloss
0	0.6814973065
1	0.6717933625
2	0.661670237
3	0.6527128773
4	0.6430207217
5	0.6348050829
6	0.6275278291
7	0.621049631
8	0.6153067993
9	0.609293334
10	0.6061079043
11	0.601207254
12	0.5984919743
13	0.5959004227
14	0.5910944256
15	0.5874017273
16	0.5850397534
17	0.5829758457
18	0.580922192
19	0.579071246
20	0.5771807423
21	0.5746247851
22	0.5738294383
23	0.5720010611
24	0.5704783142
25	0.5686154439
26	0.5665029554
27	0.5657482719
28	0.5648520487
29	0.5630554676
30	0.5619533865
31	0.5605551444
32	0.5592861741
33	0.5581970619
34	0.557482696
35	0.5564896071
36	0.555809452
37	0.5550669805
38	0.5537070333
39	0.5528372878
40	0.552017919
41	0.5510543198
42	0.5505755317
43	0.549202443
44	0.5489043887
45	0.5480349738
46	0.547603814
47	0.5465718922
48	0.5461434324
49	0.5455714357
50	0.5445178378
51	0.5439717288
52	0.5430480741
53	0.5426484247
54	0.542215176
55	0.5416004484
56	0.5410775242
57	0.5405239738
58	0.5399733436
59	0.5395930252
60	0.5390638126
61	0.5386056024
62	0.5383325263
63	0.5379322979
64	0.5371312163
65	0.5367891305
66	0.5364693671
67	0.5360627378
68	0.5353618569
69	0.5349163766
70	0.5347517619
71	0.5343439538
72	0.533982678
73	0.5334761072
74	0.5329485349
75	0.5322543696
76	0.531998368
77	0.5316366066
78	0.5313088494
79	0.5309373683
80	0.5307204431
81	0.5305124992
82	0.5300330897
83	0.5297970108
84	0.5294225795
85	0.5292126627
86	0.5289081245
87	0.5285332373
88	0.5282502417
89	0.5277800031
90	0.5274397434
91	0.5270323973
92	0.526664808
93	0.5263288182
94	0.5259999154
95	0.5254791859
96	0.5251819997
97	0.5248767215
98	0.5242889426
99	0.5239064716
100	0.5235362676
101	0.5230902953
102	0.5229025711
103	0.5225994716
104	0.5222845218
105	0.5219211515
106	0.5217614252
107	0.5214166732
108	0.5212238167
109	0.5205704222
110	0.5203421589
111	0.5201591918
112	0.5198719568
113	0.5192288425
114	0.5190682524
115	0.5189193099
116	0.5186794704
117	0.5185089698
118	0.5182088089
119	0.5179931765
120	0.5178829257
121	0.5174789504
122	0.5173139458
123	0.5169282117
124	0.5168145757
125	0.5163142335
126	0.516089458
127	0.5157146824
128	0.5155315623
129	0.515411539
130	0.5149983043
131	0.5146966993
132	0.5144061943
133	0.5141460556
134	0.514100665
135	0.5138839252
136	0.5137395393
137	0.513538973
138	0.5132784419
139	0.5130714993
140	0.512860091
141	0.5127083596
142	0.5125636664
143	0.5123893192
144	0.5120973953
145	0.5116808792
146	0.5114956484
147	0.5113391241
148	0.5111786342
149	0.5110851146
150	0.5108302654
151	0.5107817204
152	0.5106847827
153	0.5102138851
154	0.5100577153
155	0.5098153209
156	0.5096900207
157	0.5094453802
158	0.5094453637
159	0.5091068875
160	0.5090379673
161	0.5087880307
162	0.5084047848
163	0.5080874098
164	0.5079461811
165	0.5077984546
166	0.5075869547
167	0.5072763351
168	0.5070659202
169	0.5069614566
170	0.506677267
171	0.5065274869
172	0.5061897575
173	0.505940541
174	0.505811459
175	0.5057339715
176	0.5056561508
177	0.5054089811
178	0.5053334852
179	0.505244423
180	0.5051360566
181	0.5048952833
182	0.504638001
183	0.5043411995
184	0.5041500145
185	0.5039812783
186	0.5037843798
187	0.5036614735
188	0.5036101513
189	0.503405277
190	0.5032877295
191	0.5030333264
192	0.5026602973
193	0.5025564078
194	0.5022482426
195	0.5020592086
196	0.5017318856
197	0.5016699484
198	0.5014594317
199	0.5012209112
200	0.501154492
201	0.5008213572
202	0.5006267139
203	0.5003922677
204	0.4999151538
205	0.4995727055
206	0.4994021555
207	0.4993944915
208	0.4991736468
209	0.4989332587
210	0.4988591073
211	0.4986078072
212	0.4984650014
213	0.4983835999
214	0.4982388359
215	0.4981297591
216	0.4979911564
217	0.4977104687
218	0.4974356929
219	0.4971929432
220	0.4969264007
221	0.4968505878
222	0.4967151587
223	0.4965306106
224	0.4964464229
225	0.4961494612
226	0.4961193356
227	0.4957773368
228	0.4953776273
229	0.4951958378
230	0.4950099072
231	0.4947576505
232	0.4946317393
233	0.4944566626
234	0.4942694561
235	0.4940644189
236	0.4939610386
237	0.4935713049
238	0.4932244568
239	0.492889561
240	0.4926965762
241	0.4924945535
242	0.4923628559
243	0.4922221746
244	0.4920169032
245	0.4917454902
246	0.4914478719
247	0.491336327
248	0.4909296168
249	0.4909025082
